family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
APOCYNACEAE,"Blepharodon hatschbachii","Fontella & Marquete",comments,EN,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie herbácea endêmica do estado do Mato Grosso, é restrita aos municípios de Rondonópolis e Itiquira (Rapini et al., 2009; Koch et al., 2014). Tem EOO de 529 km² e está sujeita a duas situações de ameaça, devido às suas localidades de ocorrência. Ocorre no Cerrado (Rapini et al., 2009), próximo a cursos de água (CNCFlora, 2013). Suspeita-se que a espécie esteja sofrendo com a perda da qualidade do hábitat, além de declínio de EOO e AOO, em decorrência da prática da agricultura de grande porte e a implementação de atividades industriais (IBGE, 2013). Investimentos em pesquisas se fazem necessários, bem como o aumento do esforço de coleta da espécie, a fim de contribuir para o conhecimento do táxon e de sua real distribuição geográfica."
APOCYNACEAE,"Ditassa emmerichii",Fontella,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie conhecida apenas pelo material-tipo, oriundo do estado de Goiás, porém em localidade incerta (Rapini com. pess.). Devido à falta de informações e dúvidas de identificação do material, são necessários investimentos em pesquisa e um aumento no esforço de coleta da espécie, para o real conhecimento do táxon, a fim de embasar uma avaliação de risco confiável e coerente ao atual estado de conservação da espécie na natureza."
APOCYNACEAE,"Ditassa insignis",Farinaccio,comments,EN,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica dos Campos Rupestres da região da Serra da Canastra, no estado de Minas Gerais (Rapini et al., 2009; Koch et al., 2014). Apresenta EOO menor que 5.000 km² e está sujeita a menos de cinco situações de ameaça, considerando suas localidades de ocorrência. Apesar de protegida pelo Parque Nacional da Serra da Canastra (Rapini et al., 2009), suspeita-se que a espécie esteja sofrendo com o declínio constante da qualidade do hábitat, da EOO e AOO, em decorrência do aumento da frequência dos incêndios de origem antrópica, da implementação da pecuária e a consequente invasão de espécies exóticas e do turismo desenvolvido na região (MMA/ICMBio, 2005)."
APOCYNACEAE,"Ditassa obscura","(E.Fourn.) Farinaccio & T.U.P.Konno",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2014), sendo restrita à Serra da Canastra, onde é encontrada no município de São Roque de Minas (Rapini et al., 2009), no Parque Nacional da Serra da Canastra e nas áreas do entorno (CNCFlora, 2013). A espécie se desenvolve nas fronteiras de pequenas manchas florestais (“capões”), em Matas de Galerias e em pastagens com solo arenoso pedregoso (Farinaccio & Konno, 2005), em altitudes superiores a 1.000 m (Konno, 2005). Apresenta EOO menor que 5.000 km² e AOO inferior a 500 km², e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Suspeita-se que a espécie sofra com o declínio contínuo de EOO, AOO e qualidade do hábitat, em decorrência das ameaças incidentes na área de ocorrência da espécie, como o ecoturismo e a implementação da pecuária, além dos incêndios de origem antrópica e da invasão de espécies exóticas (MMA/ICMBio, 2005)."
APOCYNACEAE,"Mandevilla rubra","Markgr. ex M.F.Sales et al.",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais, ocorre no município de Gouveia e nas proximidades de Diamantina (Koch et al., 2014). Desenvolve-se em regiões de Campo Rupestre com presença de afloramentos quartzíticos, a aproximadamente 1.200 m de altitude (Koch et al., 2014). Apresenta AOO menor que 500 km², EOO menor que 5.000 km², e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat, além de declínio da EOO e AOO, em decorrência das atividades agropecuárias desenvolvidas intensivamente na sua região de distribuição (IBGE, 2013)."
APOCYNACEAE,"Mandevilla semirii","M.F.Sales et al.",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2014), onde ocorre na porção norte da Cadeia do Espinhaço, nos municípios de Grão Mogol e Itacambira (Rapini et al., 2009). Pode ser encontrada na Caatinga e no Cerrado, em Campos Rupestres (Koch et al., 2014), em altitude superior a 900 m (Rapini et al., 2009). Possui EOO estimada em 309.1 km² e AOO de 24 km² e está sujeita a menos de cinco situações de ameaça considerando seus municípios e localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat, além do constante declínio da EOO e AOO, em decorrência da existência de atividades agropecuárias (IBGE, 2013)."
APOCYNACEAE,"Marsdenia neomanarae",Morillo,comments,EN,"B1ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do Cerrado do estado de Goiás (Koch et al., 2014), onde ocorre nos municípios de São João d’Aliança e no Distrito Federal (Rapini et al., 2009). Possui EOO de 524,4 km² e está sujeita a menos de cinco situações de ameaça considerando seus municípios de ocorrência. Suspeita-se que sofra com o declínio contínuo da EOO, AOO e qualidade do hábitat, em decorrência das ameaças incidentes em sua área de distribuição, como a mineração e a pecuária (Lima & Barreira, 2002), e também pelo crescimento urbano (Carvalho & Romero, 2013). Torna-se necessária, portanto, a formação de maiores conhecimentos sobre a espécie, além de um aumento no esforço amostral para melhor entendimento de sua real distribuição geográfica, além da contenção e do monitoramento das ameaças, a fim de permitir uma efetiva medida de conservação para o táxon na natureza."
APOCYNACEAE,"Marsdenia sessilifolia","(E.Fourn.) Fontella",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie de ocorrência no Cerrado e na Mata Atlântica, é endêmica do estado de Minas Gerais (Koch et al., 2014), onde ocorre nos municípios de Itaobim e Pedra Azul (Rapini et al., 2009). É encontrada em Inselbergs, isolada em rochas, praticamente sem solo e vegetação no entorno. Possui EOO de 443,1 km² e AOO de 16 km² e está sujeita a duas situações de ameaça, considerando seus municípios de ocorrência. As principais ameaças parecem estar relacionadas à fragmentação natural e às subpopulações já reduzidas, além de eventuais atividades mineradoras. Suspeita-se que haja declínio contínuo da EOO, AOO e qualidade do hábitat. Investimentos em pesquisa e esforços em campo são essenciais a fim de diagnosticar novas subpopulações na natureza."
APOCYNACEAE,"Marsdenia virgultorum","(E.Fourn.) Malme",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2013), conhecida apenas pelo material-tipo, coletado no município de Lagoa Santa (Rapini et al., 2009; Rapini, com. pess.) a 950 m de altitude (CNCFlora, 2013). Ocorre em afloramentos rochosos calcários associados ao Cerrado (Rapini et al., 2009). Devido à falta de informações, é necessário o investimento em estudos sobre a espécie e seu habitat, além de um maior esforço de coleta em sua área de distribuição para descoberta de novas subpopulações."
APOCYNACEAE,"Matelea matogrossensis",Fontella,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado do Mato Grosso do Sul (Koch et al. 2013). Conhecida apenas pelo material-tipo oriundo do município de Terenos, onde foi coletado em margem de córregos do Cerrado (Rapini et al. 2009; Koch et al. 2013). Devido à falta de informações, são necessários maiores estudos sobre a espécie e seu habitat, além de um maior esforço de coleta para analisar a existência de novas subpopulações, a fim de possibilitar a avaliação do real estado de conservação da espécie na natureza."
APOCYNACEAE,"Matelea refracta","(E.Fourn.) Morillo",comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie conhecida apenas pelo material-tipo, oriundo da Serra da Babilônia, no município de Delfinópolis, estado de Minas Gerais (Rapini et al. 2009; Koch et al. 2013). Devido à falta de informações, são necessários maiores estudos sobre a espécie e seu habitat, além de um maior esforço de coleta para descoberta de novas subpopulações."
APOCYNACEAE,"Minaria campanuliflora",Rapini,comments,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2014), onde é restrita ao município de São Gonçalo do Rio Preto, porção nordeste do Planalto de Diamantina (Konno et al., 2006; Rapini et al., 2009). Encontrada nos Campos Rupestres associados ao Cerrado (Koch et al., 2013), desenvolve-se sobre solo arenoso aproximadamente entre 1.400 m e 1.600 m de altitude (CNCFlora, 2013). Apresenta EOO menor que 100 km² e AOO inferior a 10 km² e está sujeita a uma única situação de ameaça. Apesar de ocorrer dentro dos limites do Parque Estadual do Rio Preto (Konno et al., 2006), suspeita-se que a espécie sofra com a perda da qualidade do hábitat, além do constante declínio de EOO e AOO, em decorrência das ameaças incidentes em sua região de ocorrência, como principalmente, o aumento na frequência de incêndios para a implementação da pecuária (Wanderley et al., 2009; IBGE, 2013)."
APOCYNACEAE,"Nephradenia filipes",Malme,comments,CR,"B2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Mato Grosso (Koch et al., 2014), sendo restrita à vegetação de Cerrado da região da Chapada dos Guimarães (Rapini et al., 2009). Possui AOO menor que 10 km² e está sujeita a apenas uma situação de ameaça. Apesar de ocorrer no Parque Nacional da Chapada dos Guimarães, encontra-se sob a ameaça do turismo e do aumento da frequência dos incêndios de origem antrópica (provavelmente utilizados na implementação da agricultura ou pecuária) (MMA/ICMBio, 2009), o que resulta na perda da qualidade do hábitat, e no constante declínio da EOO e AOO. Investimentos em pesquisa e esforços de coleta na área de distribuição da espécie são necessários para a descoberta de novas subpopulações. Medidas de controle e monitoramento das ameaças incidentes também são fundamentais para a conservação da espécie na natureza."
APOCYNACEAE,"Oxypetalum habrogynum",Farinaccio,comments,CR,"B2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2014), é restrita à região da Serra da Canastra (Rapini et al., 2009). Apresenta AOO inferior a 10 km² e está sujeita a apenas uma situação de ameaça, considerando sua restrição de ocorrência no Parque Nacional da Serra da Canastra (MMA/ICMBio, 2005). Ocorre em Cerrado (Rapini et al., 2009), e se desenvolve em áreas de solo úmido, em torno das bordas de pequenas faixas de floresta (Capões) e Florestas de Galeria (Farinaccio, 2002). Apesar de ocorrer dentro dos limites de uma Unidade de Conservação, suspeita-se que a espécie esteja sob influência da perda da qualidade do hábitat, além do constante declínio da EOO e AOO, em decorrência das ameaças incidentes na sua região de ocorrência, como o turismo, a pecuária, o fogo e a invasão de espécies exóticas (MMA/ICMBio, 2005). É importante que sejam realizados novos estudos sobre a espécie e sua região de distribuição, e que se aumente o esforço de coleta. Faz-se necessário também o monitoramento das ameaças existentes, a fim de evitar a extinção do táxon em um futuro próximo."
APOCYNACEAE,"Oxypetalum helios",Farinaccio,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de Minas Gerais (Koch et al., 2014), região da Serra da Canastra (Farinaccio, 2002; Rapini et al., 2009). Apresenta EOO de 121,3 km² e AOO de 12 km². Apesar de ocorrer no Parque Nacional da Serra da Canastra (MMA/ICMBio, 2005), suspeita-se que esteja sob influência da perda da qualidade do hábitat, além do constante declínio de EOO e AOO, em decorrência da presença de ameaças incidentes na região de ocorrência, como o ecoturismo, a pecuária, o aumento na frequência de incêndios e a invasão de espécies exóticas (MMA/ICMBio, 2005)."
APOCYNACEAE,"Oxypetalum pardense",E.Fourn.,comments,DD,,"Rodrigo Amaro","Luiz Santos","Espécie endêmica do estado de São Paulo (Koch et al. 2013), restrita ao município de São José do Rio Pardo (Rapini et al. 2009). Conhecida apenas pelo material-tipo depositado em LE (Rússia). O material não foi devidamente trabalhado taxonomicamente; não foi incluído na Flora de São Paulo (Rapini com. pess.). São necessários maiores estudos sobre a espécie, com o conhecimento atual não é possível avaliar seu risco de extinção."
